,id,title,created_utc,num_comments,upvotes
0,1cdbpz9,[WTS] Cartier Santos Large Blue Dial - WSSA0030. It has all links. Presentation box and warranty/authenticity card from Interwatches included. The warranty expires in 2/2026. The watch is in great condition. Definitely has some light scratches on the bezel (unavoidable after 1 day of wear). $6K.,2024-04-26 03:52:51,2,1
1,1cdbopi,"[WTS] Sinn 857 UTC HLink Bracelet, Fully Tegimented, Box+ Papers",2024-04-26 03:50:57,3,7
2,1cdbnk0,[WTS] Longines Flagship Heritage Automatic 38.5,2024-04-26 03:49:13,3,5
3,1cdbnge,"[WTS] 2011 Cartier Roadster - W6206017 in great condition. It fits like a 41mm watch, and is a great every day companion. I do not have a box or papers anymore, but do have a carrying pouch that was given to me when I had the watch serviced a few years ago. Will fit a 7.75” wrist.",2024-04-26 03:49:04,4,1
4,1cdbnfa,[WTS] Sinn 105 UTC St Sa (Black / White / Orange),2024-04-26 03:49:01,3,1
5,1cdbm58,"[WTS] Nomos Ludwig 205 Manual Wind 35, 2022 Card",2024-04-26 03:47:08,4,8
6,1cdbl3v,"[WTS] Tudor Black Bay GMT ""Pepsi"" Ref. 79830RB $2800",2024-04-26 03:45:35,4,4
7,1cdbi7o,[WTS] Hamilton Intramatic Chronograph Panda- $1250 OBRO,2024-04-26 03:41:28,4,3
8,1cdb5ki,"[WTS] Grand Seiko SBGL017 - Rare Collector's Piece 41 Jewel 9S67 Movement | 1st GS 3 Day (72hr) Reserve | Only made from 2006-2010, Cream Dial Automatic in Elegance Case, Power Reserve runs in reverse, Hirsch Alligator strap",2024-04-26 03:22:49,3,4
9,1cdb2bb,[WTS] Omega Speedmaster Professional Moonwatch 2016 Ref: 311.30.42.30.01.005,2024-04-26 03:17:58,6,1
10,1cdaueb,[WTS]Vacheron Constantin Overseas 10th Anniversary Dual Time RARE Rose Gold Chocolate Dial. Box and Archive Papers. $75000,2024-04-26 03:06:25,2,3
11,1cdaqxq,[WTS] Very Rare 39mm Grand Seiko SBGM001 GMT | Double Stamped ‘Seiko Grand Seiko’ | Full Box & Papers - Serviced 2021,2024-04-26 03:01:33,3,6
12,1cdaqqm,"[WTS] Grand Seiko SBGA439 40mm Spring Drive Midnight Blue Brushed Sunburst Dial | June 2023 | Double boxed with warranty card, 8.25"" Bracelet",2024-04-26 03:01:19,3,2
13,1cdaq95,[WTS] Tudor Prince Oysterdate,2024-04-26 03:00:41,4,3
14,1cdak1g,[WTS] Casio G-Shock GLX-5600A-3 G-Lide Square Green Tide & Moon Graph Surf Digital Watch 5600 GLX-5600,2024-04-26 02:51:45,3,1
15,1cda6tq,"[WTS] Nixon The Ticket ""Golden"" Stainless Steel Wood Grain Dial Metal Men's Analog Quartz Watch",2024-04-26 02:33:08,3,3
16,1cda4mk,[WTS] Blancpain Villeret Quantième Complet Moonphase Complete Calendar 38mm FULL SET MINT CONDITION 6263-1127A-55B,2024-04-26 02:30:11,3,4
17,1cda1te,[WTS] Tissot Heritage T019430B Black Dial Visodate Automatic Watch - $295,2024-04-26 02:26:17,3,1
18,1cd9w16,[WTS] Tag Heuer Carrera Calibre 16 Juan Fangio CV201AK,2024-04-26 02:18:42,4,1
19,1cd9sae,[WTS] Tissot T056.420.27.031.00 Sailing Touch Digital Quartz Watch - $185,2024-04-26 02:13:48,3,2
20,1cd9n7q,[WTS] Tudor Pelagos FXD Alinghi Red Bull Chrono,2024-04-26 02:07:09,3,3
21,1cd9lo0,[WTS] Omega Speedmaster “Triple Date” 3521.30,2024-04-26 02:05:02,3,5
22,1cd9hjp,"[WTS] Tudor x 2, Ball, Breitling, Baumé and Mercier, Seiko, Perrelet Turbine, Monbrey, Certina DS+ 🔥Priced to Sell Tonight🔥 $425-$2,400",2024-04-26 01:59:55,21,12
23,1cd9h6u,[WTS] Like New Phoibos Narwhal 38mm Aventurine dial Limited Edition (SOLD OUT),2024-04-26 01:59:27,6,2
24,1cd9ehy,[WTS] Seiko SBTB005 7N01 White Numeral Dial Quartz Watch - $85,2024-04-26 01:55:54,3,1
25,1cd9bxr,[WTS] Rolex Air-King ref. 14010m K-serial,2024-04-26 01:52:36,3,6
26,1cd9ax0,[WTS] Wittnauer Chronograph 8023-241T Box & Papers,2024-04-26 01:51:13,3,4
27,1cd94k1,[WTS] New NOS Seiko SSDA017 7N01 White Dial Classic Style Quartz Watch - $95,2024-04-26 01:42:39,3,1
28,1cd9158,[WTS] Seiko Prospex SBDC063 6R15 Divers MM200 Blue Bezel Black Dial Automatic Watch - $320,2024-04-26 01:38:12,3,1
